Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Braun, Adam; Auriol, Jean; Brivadis, Lucas; ",Stabilization of a Chain of Three Hyperbolic PDEs using a Time-Delay Representation,"Joint IFAC Conference: SSSC-TDS-COSY, Jun 2025, Gif sur Yvette (91), France",,,,2025,
"Auriol, Jean; Braun, Adam; Ouidir Amirat, Mohand; Bajodek, Mathieu; ",Underactuated boundary control of a linearized Saint-Venant equation,IMA Journal of Mathematical Control and Information,42,2,dnaf012,2025,Oxford University Press
